,Region,Domain,Facility_ID
205,Blansko,zubní lékařství,24096
206,Blansko,zubní lékařství,24804
207,Blansko,zubní lékařství,24805
208,Blansko,zubní lékařství,24886
209,Blansko,zubní lékařství,26535
210,Blansko,zubní lékařství,26536
211,Blansko,zubní lékařství,26671
212,Blansko,zubní lékařství,27178
213,Blansko,zubní lékařství,27179
214,Blansko,zubní lékařství,30190
215,Blansko,zubní lékařství,30911
216,Blansko,zubní lékařství,32810
217,Blansko,zubní lékařství,33580
218,Blansko,zubní lékařství,34467
219,Blansko,zubní lékařství,35942
220,Blansko,zubní lékařství,38695
221,Blansko,zubní lékařství,39680
222,Blansko,zubní lékařství,39682
223,Blansko,zubní lékařství,40198
224,Blansko,zubní lékařství,45511
225,Blansko,zubní lékařství,45827
226,Blansko,zubní lékařství,48474
227,Blansko,zubní lékařství,50584
228,Blansko,zubní lékařství,50590
229,Blansko,zubní lékařství,53062
230,Blansko,zubní lékařství,53063
231,Blansko,zubní lékařství,53066
232,Blansko,zubní lékařství,53067
233,Blansko,zubní lékařství,53069
234,Blansko,zubní lékařství,53073
235,Blansko,zubní lékařství,53076
236,Blansko,zubní lékařství,53077
237,Blansko,zubní lékařství,53079
238,Blansko,zubní lékařství,55953
239,Blansko,zubní lékařství,55954
240,Blansko,zubní lékařství,55955
241,Blansko,zubní lékařství,56797
242,Brno-město,Dentální hygienistka,26
243,Brno-město,Dentální hygienistka,67
244,Brno-město,Dentální hygienistka,310
245,Brno-město,Dentální hygienistka,359
246,Brno-město,Dentální hygienistka,647
247,Brno-město,Dentální hygienistka,1424
248,Brno-město,Dentální hygienistka,1456
249,Brno-město,Dentální hygienistka,2571
250,Brno-město,Dentální hygienistka,2962
251,Brno-město,Dentální hygienistka,3397
252,Brno-město,Dentální hygienistka,4249
253,Brno-město,Dentální hygienistka,4705
254,Brno-město,Dentální hygienistka,5162
255,Brno-město,Dentální hygienistka,6784
256,Brno-město,Dentální hygienistka,7072
257,Brno-město,Dentální hygienistka,7236
258,Brno-město,Dentální hygienistka,8910
259,Brno-město,Dentální hygienistka,9220
260,Brno-město,Dentální hygienistka,9224
261,Brno-město,Dentální hygienistka,10124
262,Brno-město,Dentální hygienistka,11477
263,Brno-město,Dentální hygienistka,11917
264,Brno-město,Dentální hygienistka,11919
265,Brno-město,Dentální hygienistka,12571
266,Brno-město,Dentální hygienistka,13411
267,Brno-město,Dentální hygienistka,13741
268,Brno-město,Dentální hygienistka,14770
269,Brno-město,Dentální hygienistka,14879
270,Brno-město,Dentální hygienistka,15004
271,Brno-město,Dentální hygienistka,15036
272,Brno-město,Dentální hygienistka,16278
273,Brno-město,Dentální hygienistka,19723
274,Brno-město,Dentální hygienistka,20105
275,Brno-město,Dentální hygienistka,20303
276,Brno-město,Dentální hygienistka,20327
277,Brno-město,Dentální hygienistka,20978
278,Brno-město,Dentální hygienistka,20989
279,Brno-město,Dentální hygienistka,21186
280,Brno-město,Dentální hygienistka,23043
281,Brno-město,Dentální hygienistka,23044
282,Brno-město,Dentální hygienistka,23197
283,Brno-město,Dentální hygienistka,23408
284,Brno-město,Dentální hygienistka,23815
285,Brno-město,Dentální hygienistka,23823
286,Brno-město,Dentální hygienistka,24662
287,Brno-město,Dentální hygienistka,24802
288,Brno-město,Dentální hygienistka,24811
289,Brno-město,Dentální hygienistka,24856
290,Brno-město,Dentální hygienistka,25119
291,Brno-město,Dentální hygienistka,27879
292,Brno-město,Dentální hygienistka,29054
293,Brno-město,Dentální hygienistka,29266
294,Brno-město,Dentální hygienistka,29274
295,Brno-město,Dentální hygienistka,30207
296,Brno-město,Dentální hygienistka,30897
297,Brno-město,Dentální hygienistka,32569
298,Brno-město,Dentální hygienistka,35738
299,Brno-město,Dentální hygienistka,40413
300,Brno-město,Dentální hygienistka,46920
301,Brno-město,Dentální hygienistka,60076
302,Brno-město,Dentální hygienistka,60605
303,Brno-město,Fyzioterapeut,16
304,Brno-město,Fyzioterapeut,64
305,Brno-město,Fyzioterapeut,65
306,Brno-město,Fyzioterapeut,73
307,Brno-město,Fyzioterapeut,225
308,Brno-město,Fyzioterapeut,311
309,Brno-město,Fyzioterapeut,487
310,Brno-město,Fyzioterapeut,643
311,Brno-město,Fyzioterapeut,644
312,Brno-město,Fyzioterapeut,747
313,Brno-město,Fyzioterapeut,748
314,Brno-město,Fyzioterapeut,937
315,Brno-město,Fyzioterapeut,1020
316,Brno-město,Fyzioterapeut,1027
317,Brno-město,Fyzioterapeut,1084
318,Brno-město,Fyzioterapeut,1096
319,Brno-město,Fyzioterapeut,1102
320,Brno-město,Fyzioterapeut,1105
321,Brno-město,Fyzioterapeut,1106
322,Brno-město,Fyzioterapeut,1113
323,Brno-město,Fyzioterapeut,1363
324,Brno-město,Fyzioterapeut,1420
325,Brno-město,Fyzioterapeut,1452
326,Brno-město,Fyzioterapeut,1453
327,Brno-město,Fyzioterapeut,1496
328,Brno-město,Fyzioterapeut,1564
329,Brno-město,Fyzioterapeut,1582
330,Brno-město,Fyzioterapeut,1590
331,Brno-město,Fyzioterapeut,1796
332,Brno-město,Fyzioterapeut,2049
333,Brno-město,Fyzioterapeut,2229
334,Brno-město,Fyzioterapeut,2290
335,Brno-město,Fyzioterapeut,2291
336,Brno-město,Fyzioterapeut,2306
337,Brno-město,Fyzioterapeut,2398
338,Brno-město,Fyzioterapeut,2506
339,Brno-město,Fyzioterapeut,2512
340,Brno-město,Fyzioterapeut,2793
341,Brno-město,Fyzioterapeut,2818
342,Brno-město,Fyzioterapeut,2868
343,Brno-město,Fyzioterapeut,2878
344,Brno-město,Fyzioterapeut,3331
345,Brno-město,Fyzioterapeut,3439
346,Brno-město,Fyzioterapeut,3473
347,Brno-město,Fyzioterapeut,3816
348,Brno-město,Fyzioterapeut,4251
349,Brno-město,Fyzioterapeut,4252
350,Brno-město,Fyzioterapeut,4262
351,Brno-město,Fyzioterapeut,5332
352,Brno-město,Fyzioterapeut,5502
353,Brno-město,Fyzioterapeut,5607
354,Brno-město,Fyzioterapeut,5608
355,Brno-město,Fyzioterapeut,5704
356,Brno-město,Fyzioterapeut,5933
357,Brno-město,Fyzioterapeut,5949
358,Brno-město,Fyzioterapeut,5951
359,Brno-město,Fyzioterapeut,6070
360,Brno-město,Fyzioterapeut,6073
361,Brno-město,Fyzioterapeut,6208
362,Brno-město,Fyzioterapeut,6651
363,Brno-město,Fyzioterapeut,6732
364,Brno-město,Fyzioterapeut,6779
365,Brno-město,Fyzioterapeut,6875
366,Brno-město,Fyzioterapeut,7364
367,Brno-město,Fyzioterapeut,7400
368,Brno-město,Fyzioterapeut,7503
369,Brno-město,Fyzioterapeut,7952
370,Brno-město,Fyzioterapeut,7953
371,Brno-město,Fyzioterapeut,7957
372,Brno-město,Fyzioterapeut,8174
373,Brno-město,Fyzioterapeut,9417
374,Brno-město,Fyzioterapeut,9710
375,Brno-město,Fyzioterapeut,9711
376,Brno-město,Fyzioterapeut,9997
377,Brno-město,Fyzioterapeut,10009
378,Brno-město,Fyzioterapeut,10782
379,Brno-město,Fyzioterapeut,10981
380,Brno-město,Fyzioterapeut,10985
381,Brno-město,Fyzioterapeut,11046
382,Brno-město,Fyzioterapeut,11124
383,Brno-město,Fyzioterapeut,11380
384,Brno-město,Fyzioterapeut,11756
385,Brno-město,Fyzioterapeut,11797
386,Brno-město,Fyzioterapeut,11817
387,Brno-město,Fyzioterapeut,12085
388,Brno-město,Fyzioterapeut,12170
389,Brno-město,Fyzioterapeut,12171
390,Brno-město,Fyzioterapeut,12190
391,Brno-město,Fyzioterapeut,12232
392,Brno-město,Fyzioterapeut,12414
393,Brno-město,Fyzioterapeut,12416
394,Brno-město,Fyzioterapeut,12668
395,Brno-město,Fyzioterapeut,12817
396,Brno-město,Fyzioterapeut,13259
397,Brno-město,Fyzioterapeut,13518
398,Brno-město,Fyzioterapeut,14001
399,Brno-město,Fyzioterapeut,14002
400,Brno-město,Fyzioterapeut,14450
401,Brno-město,Fyzioterapeut,14574
402,Brno-město,Fyzioterapeut,14610
403,Brno-město,Fyzioterapeut,14890
404,Brno-město,Fyzioterapeut,14892
405,Brno-město,Fyzioterapeut,14928
406,Brno-město,Fyzioterapeut,14955
407,Brno-město,Fyzioterapeut,15033
408,Brno-město,Fyzioterapeut,15166
409,Brno-město,Fyzioterapeut,15167
410,Brno-město,Fyzioterapeut,16167
411,Brno-město,Fyzioterapeut,16202
412,Brno-město,Fyzioterapeut,16347
413,Brno-město,Fyzioterapeut,17074
414,Brno-město,Fyzioterapeut,19752
415,Brno-město,Fyzioterapeut,19836
416,Brno-město,Fyzioterapeut,20079
417,Brno-město,Fyzioterapeut,20132
418,Brno-město,Fyzioterapeut,20981
419,Brno-město,Fyzioterapeut,20985
420,Brno-město,Fyzioterapeut,21860
421,Brno-město,Fyzioterapeut,23033
422,Brno-město,Fyzioterapeut,23042
423,Brno-město,Fyzioterapeut,23763
424,Brno-město,Fyzioterapeut,23764
425,Brno-město,Fyzioterapeut,23972
426,Brno-město,Fyzioterapeut,23990
427,Brno-město,Fyzioterapeut,24660
428,Brno-město,Fyzioterapeut,24677
429,Brno-město,Fyzioterapeut,24678
430,Brno-město,Fyzioterapeut,24686
431,Brno-město,Fyzioterapeut,24701
432,Brno-město,Fyzioterapeut,24732
433,Brno-město,Fyzioterapeut,24733
434,Brno-město,Fyzioterapeut,24897
435,Brno-město,Fyzioterapeut,25088
436,Brno-město,Fyzioterapeut,25152
437,Brno-město,Fyzioterapeut,25583
438,Brno-město,Fyzioterapeut,25586
439,Brno-město,Fyzioterapeut,27405
440,Brno-město,Fyzioterapeut,27605
441,Brno-město,Fyzioterapeut,27606
442,Brno-město,Fyzioterapeut,27694
443,Brno-město,Fyzioterapeut,27891
444,Brno-město,Fyzioterapeut,27892
445,Brno-město,Fyzioterapeut,28572
446,Brno-město,Fyzioterapeut,28605
447,Brno-město,Fyzioterapeut,28746
448,Brno-město,Fyzioterapeut,29845
449,Brno-město,Fyzioterapeut,30385
450,Brno-město,Fyzioterapeut,30785
451,Brno-město,Fyzioterapeut,31065
452,Brno-město,Fyzioterapeut,31079
453,Brno-město,Fyzioterapeut,31652
454,Brno-město,Fyzioterapeut,32061
455,Brno-město,Fyzioterapeut,32062
456,Brno-město,Fyzioterapeut,32087
457,Brno-město,Fyzioterapeut,32088
458,Brno-město,Fyzioterapeut,32141
459,Brno-město,Fyzioterapeut,32987
460,Brno-město,Fyzioterapeut,33543
461,Brno-město,Fyzioterapeut,34151
462,Brno-město,Fyzioterapeut,34239
463,Brno-město,Fyzioterapeut,35121
464,Brno-město,Fyzioterapeut,35311
465,Brno-město,Fyzioterapeut,35736
466,Brno-město,Fyzioterapeut,36378
467,Brno-město,Fyzioterapeut,37388
468,Brno-město,Fyzioterapeut,37448
469,Brno-město,Fyzioterapeut,38669
470,Brno-město,Fyzioterapeut,39525
471,Brno-město,Fyzioterapeut,40908
472,Brno-město,Fyzioterapeut,40924
473,Brno-město,Fyzioterapeut,43369
474,Brno-město,Fyzioterapeut,43370
475,Brno-město,Fyzioterapeut,43391
476,Brno-město,Fyzioterapeut,44767
477,Brno-město,Fyzioterapeut,45447
478,Brno-město,Fyzioterapeut,46847
479,Brno-město,Fyzioterapeut,47667
480,Brno-město,Fyzioterapeut,47668
481,Brno-město,Fyzioterapeut,47711
482,Brno-město,Fyzioterapeut,47946
483,Brno-město,Fyzioterapeut,48443
484,Brno-město,Fyzioterapeut,49231
485,Brno-město,Fyzioterapeut,49314
486,Brno-město,Fyzioterapeut,49320
487,Brno-město,Fyzioterapeut,49337
488,Brno-město,Fyzioterapeut,51931
489,Brno-město,Fyzioterapeut,51962
490,Brno-město,Fyzioterapeut,54783
491,Brno-město,Fyzioterapeut,57452
492,Brno-město,Fyzioterapeut,59903
493,Brno-město,Fyzioterapeut,60097
494,Brno-město,Fyzioterapeut,60106
495,Brno-město,Fyzioterapeut,60142
496,Brno-město,Klinický logoped,735
497,Brno-město,Klinický logoped,1320
498,Brno-město,Klinický logoped,2642
499,Brno-město,Klinický logoped,2940
500,Brno-město,Klinický logoped,5550
501,Brno-město,Klinický logoped,6556
502,Brno-město,Klinický logoped,6579
