,Region,Facility_ID
140,Jihomoravský kraj,18493
141,Jihomoravský kraj,18494
142,Jihomoravský kraj,18496
143,Jihomoravský kraj,18498
144,Jihomoravský kraj,20113
145,Jihomoravský kraj,20883
146,Jihomoravský kraj,20884
147,Jihomoravský kraj,22309
148,Jihomoravský kraj,23231
149,Jihomoravský kraj,23232
150,Jihomoravský kraj,23418
151,Jihomoravský kraj,26541
152,Jihomoravský kraj,26542
153,Jihomoravský kraj,27603
154,Jihomoravský kraj,30181
155,Jihomoravský kraj,30182
156,Jihomoravský kraj,32114
157,Jihomoravský kraj,32168
158,Jihomoravský kraj,34739
159,Jihomoravský kraj,34764
160,Jihomoravský kraj,39029
161,Jihomoravský kraj,40786
162,Jihomoravský kraj,40787
163,Jihomoravský kraj,41604
164,Jihomoravský kraj,41645
165,Jihomoravský kraj,42349
166,Jihomoravský kraj,44361
167,Jihomoravský kraj,44736
168,Jihomoravský kraj,45118
169,Jihomoravský kraj,46627
170,Jihomoravský kraj,46927
171,Jihomoravský kraj,46929
172,Jihomoravský kraj,48477
173,Jihomoravský kraj,48478
174,Jihomoravský kraj,48480
175,Jihomoravský kraj,48481
176,Jihomoravský kraj,48482
177,Jihomoravský kraj,50624
178,Jihomoravský kraj,53064
179,Jihomoravský kraj,53065
180,Jihomoravský kraj,53068
181,Jihomoravský kraj,53070
182,Jihomoravský kraj,53072
183,Jihomoravský kraj,53078
184,Jihomoravský kraj,55950
185,Jihomoravský kraj,55951
186,Jihomoravský kraj,55956
187,Jihomoravský kraj,55957
188,Jihomoravský kraj,32
189,Jihomoravský kraj,66
190,Jihomoravský kraj,371
191,Jihomoravský kraj,1110
192,Jihomoravský kraj,1312
193,Jihomoravský kraj,1313
194,Jihomoravský kraj,2032
195,Jihomoravský kraj,2289
196,Jihomoravský kraj,2297
197,Jihomoravský kraj,3270
198,Jihomoravský kraj,4712
199,Jihomoravský kraj,4731
200,Jihomoravský kraj,4962
201,Jihomoravský kraj,4963
202,Jihomoravský kraj,5163
203,Jihomoravský kraj,5578
204,Jihomoravský kraj,5579
205,Jihomoravský kraj,5632
206,Jihomoravský kraj,5633
207,Jihomoravský kraj,5635
208,Jihomoravský kraj,5636
209,Jihomoravský kraj,5676
210,Jihomoravský kraj,5677
211,Jihomoravský kraj,6154
212,Jihomoravský kraj,6155
213,Jihomoravský kraj,6354
214,Jihomoravský kraj,6407
215,Jihomoravský kraj,6408
216,Jihomoravský kraj,6731
217,Jihomoravský kraj,6777
218,Jihomoravský kraj,6778
219,Jihomoravský kraj,7075
220,Jihomoravský kraj,7135
221,Jihomoravský kraj,7136
222,Jihomoravský kraj,7365
223,Jihomoravský kraj,7404
224,Jihomoravský kraj,7561
